COMUNA,TIPO_DELITO,DIA_SEMANA,BLOQUE_HORARIO,NIVEL_RIESGO,CONFIANZA_PREDICCION,PROBABILIDAD_ALTO,PROBABILIDAD_MEDIO,PROBABILIDAD_BAJO,DELITOS_HISTORICOS
Comuna Cabecera del Llano,DELITOS CONTRA LA SEGURIDAD PUBLICA,lunes,MAÑANA,ALTO,0.48703380907008464,0.48703380907008464,0.36331752419163366,0.14964866673828164,0.0
Comuna Cabecera del Llano,DELITOS CONTRA LA SEGURIDAD PUBLICA,lunes,TARDE,ALTO,0.4863177281954353,0.4863177281954353,0.3266882474091496,0.18699402439541507,0.0
Comuna Cabecera del Llano,DELITOS CONTRA LA SEGURIDAD PUBLICA,lunes,NOCHE,ALTO,0.48910832327597364,0.48910832327597364,0.32475544143112905,0.18613623529289725,0.0
Comuna Cabecera del Llano,DELITOS CONTRA LA SEGURIDAD PUBLICA,martes,MADRUGADA,ALTO,0.38041779428980754,0.38041779428980754,0.3604342937755266,0.25914791193466574,0.0
Comuna Cabecera del Llano,DELITOS CONTRA LA SEGURIDAD PUBLICA,martes,MAÑANA,ALTO,0.4849074932226544,0.4849074932226544,0.3682972308079989,0.14679527596934658,0.0
Comuna Cabecera del Llano,DELITOS CONTRA LA SEGURIDAD PUBLICA,martes,TARDE,ALTO,0.48928375158162707,0.48928375158162707,0.33155236721916337,0.17916388119920945,0.0
Comuna Cabecera del Llano,DELITOS CONTRA LA SEGURIDAD PUBLICA,martes,NOCHE,ALTO,0.4920743466621655,0.4920743466621655,0.321386510571546,0.18653914276628852,0.0
Comuna Cabecera del Llano,DELITOS CONTRA LA SEGURIDAD PUBLICA,miércoles,MADRUGADA,MEDIO,0.38245791303478804,0.3761020625871079,0.38245791303478804,0.24144002437810402,0.0
Comuna Cabecera del Llano,DELITOS CONTRA LA SEGURIDAD PUBLICA,miércoles,MAÑANA,ALTO,0.4916246509262476,0.4916246509262476,0.3847114092721426,0.12366393980160961,0.0
Comuna Cabecera del Llano,DELITOS CONTRA LA SEGURIDAD PUBLICA,miércoles,TARDE,ALTO,0.49739406107366363,0.49739406107366363,0.354647693551102,0.14795824537523425,0.0
Comuna Cabecera del Llano,DELITOS CONTRA LA SEGURIDAD PUBLICA,miércoles,NOCHE,ALTO,0.49780457931512884,0.49780457931512884,0.34442905248664396,0.157766368198227,0.0
Comuna Cabecera del Llano,DELITOS CONTRA LA SEGURIDAD PUBLICA,jueves,MADRUGADA,ALTO,0.3861647457127488,0.3861647457127488,0.3695896179254994,0.24424563636175184,0.0
